#{"t_start": 1614821819.043252, "env_id": "CartPole-v1"}
r,l,t
10.0,10,0.05035
17.0,17,0.053943
19.0,19,0.065025
26.0,26,0.0682
35.0,35,0.072151
27.0,27,0.074952
20.0,20,0.078484
24.0,24,0.080875
18.0,18,0.084803
11.0,11,0.088203
11.0,11,0.09068
14.0,14,0.092153
21.0,21,0.098448
14.0,14,0.1012
33.0,33,0.104797
20.0,20,0.106669
35.0,35,0.109811
11.0,11,0.111519
22.0,22,0.114719
12.0,12,0.116175
71.0,71,0.12322
23.0,23,0.125326
22.0,22,0.129791
26.0,26,0.132452
13.0,13,0.13413
16.0,16,0.136094
22.0,22,0.138669
21.0,21,0.140616
25.0,25,0.143034
19.0,19,0.145293
32.0,32,0.148588
13.0,13,0.149938
16.0,16,0.151882
70.0,70,0.157883
13.0,13,0.159108
49.0,49,0.165621
14.0,14,0.167542
24.0,24,0.171972
24.0,24,0.174834
24.0,24,0.178481
20.0,20,0.18106
15.0,15,0.182563
18.0,18,0.184234
28.0,28,0.186998
19.0,19,0.18891
25.0,25,0.191186
44.0,44,0.197878
15.0,15,0.199526
23.0,23,0.202378
24.0,24,0.20508
13.0,13,0.206342
39.0,39,0.209654
37.0,37,0.21342
31.0,31,0.216173
42.0,42,0.219809
20.0,20,0.22205
13.0,13,0.223409
15.0,15,0.224951
35.0,35,0.230673
19.0,19,0.23248
19.0,19,0.234792
18.0,18,0.236519
36.0,36,0.239914
24.0,24,0.242348
17.0,17,0.24432
23.0,23,0.24679
18.0,18,0.248485
12.0,12,0.249622
29.0,29,0.252353
49.0,49,0.25717
19.0,19,0.258929
14.0,14,0.262694
21.0,21,0.265309
41.0,41,0.269493
12.0,12,0.270989
16.0,16,0.27256
14.0,14,0.27398
50.0,50,0.279072
19.0,19,0.281128
24.0,24,0.283281
30.0,30,0.286266
31.0,31,0.288974
20.0,20,0.290739
20.0,20,0.292916
50.0,50,0.300168
40.0,40,0.304051
12.0,12,0.305461
12.0,12,0.306634
39.0,39,0.31008
33.0,33,0.314026
29.0,29,0.31659
19.0,19,0.318436
14.0,14,0.319877
13.0,13,0.321093
29.0,29,0.323608
18.0,18,0.325219
18.0,18,0.330189
26.0,26,0.332687
26.0,26,0.33561
19.0,19,0.337848
14.0,14,0.340813
11.0,11,0.342017
11.0,11,0.343109
26.0,26,0.346323
26.0,26,0.348818
11.0,11,0.349873
12.0,12,0.351041
23.0,23,0.353247
14.0,14,0.354946
31.0,31,0.35767
39.0,39,0.363907
31.0,31,0.366846
24.0,24,0.369828
10.0,10,0.371229
32.0,32,0.374083
21.0,21,0.375953
19.0,19,0.378397
14.0,14,0.379976
18.0,18,0.381655
19.0,19,0.383652
13.0,13,0.385074
17.0,17,0.386644
17.0,17,0.388247
24.0,24,0.390354
34.0,34,0.395208
13.0,13,0.397333
17.0,17,0.398975
14.0,14,0.401121
14.0,14,0.404576
26.0,26,0.408084
24.0,24,0.411675
13.0,13,0.413615
15.0,15,0.415139
24.0,24,0.417266
21.0,21,0.419303
16.0,16,0.421008
35.0,35,0.424158
14.0,14,0.42545
32.0,32,0.431123
22.0,22,0.433196
11.0,11,0.434926
30.0,30,0.438173
19.0,19,0.439925
11.0,11,0.441054
29.0,29,0.44373
26.0,26,0.446688
25.0,25,0.448944
15.0,15,0.450337
12.0,12,0.451771
8.0,8,0.452606
15.0,15,0.454263
40.0,40,0.457858
32.0,32,0.46308
29.0,29,0.465803
23.0,23,0.468363
15.0,15,0.47014
43.0,43,0.47413
16.0,16,0.475599
15.0,15,0.477014
29.0,29,0.480201
30.0,30,0.483024
21.0,21,0.484939
38.0,38,0.4882
17.0,17,0.490045
13.0,13,0.491403
60.0,60,0.500046
21.0,21,0.502357
16.0,16,0.504597
43.0,43,0.50875
23.0,23,0.511304
19.0,19,0.513571
45.0,45,0.517457
17.0,17,0.519417
